_id,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD,WARD_2003,WARD_2018,MI_PRINX,ATTRACTION,MAP_ACCESS,geometry
55, ,Gibson House Museum,Museum,416-395-7432, ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/gibson-house-museum/,7131356, ,7131356,5172,Yonge St,5172 Yonge St,M2N 5P6,North York,Toronto,Gibson House - Building Grounds,107008,7131350,5172, , , ,4733,Willowdale,23,18,3838012,"Operated  by the City of Toronto, the Gibson House is a museum where visitors experience an exquisite farmhouse and learn more about the rural development of the area.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4144696624001, 43.7716851088223]]}"
56, ,Glen Rouge Campground,Nature/ Park,416-661-6600, ,http://www.rougepark.com/explore/interest/campground.php,10223028, ,10223028,7450,Kingston Rd,7450 Kingston Rd,M1B 0B7,Scarborough,Toronto, ,106001,30019302,7450, , , ,3786,Scarborough-Rouge Park,44,25,3838129,"Toronto's only campground, the Glen Rouge is surrounded by luscious forests and meadows. The campground implements seasonal full-service camping.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.1371420074854, 43.8068511552017]]}"
57, ,Glenn Gould Studio,Performing Arts,416-205-5000, ,https://www.cbc.ca/glenngouldstudio/,10598280, ,10598280,250,Front St W,250 Front St W,M5V 3G5,former Toronto,Toronto, ,115001,10598276,250, , , ,3472,Spadina-Fort York,20,10,2650427,"Located on the main floor of the Canadian Broadcasting Centre,  the Glenn Gould Studio is a much-celebrated venue for its state of the art recording facilities and acoustics.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3875038118449, 43.6464170196587]]}"
58, ,Guild Park and Gardens (formely known as Guildwood Park),Nature/ Park,416-392-2489, ,https://www.toronto.ca/data/parks/prd/facilities/complex/406/index.html,6620192, ,6620192,201,Guildwood Pkwy,201 Guildwood Pkwy,M1E 1P5,Scarborough,Toronto,Guildwood Park,115001,30090074,201, , , ,8047,Scarborough-Guildwood,43,24,4173415,"A sculptural alluring park and garden, the Guild Park and Gardens is rich in local history and a must-see for locals and visitors alike.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.1914596053353, 43.7497166519208]]}"
59, ,Toronto Coach Terminal,Transportation,311, ,https://www.greyhound.ca/en/locations/terminal.aspx?city=126300,7792271, ,7792271,610,Bay St,610 Bay St,M5G 1M5,former Toronto,Toronto, ,115001,7792266,610, , , ,2962,University-Rosedale,27,11,2164073,The Toronto Coach Terminal provides travellers with bus service to various cities in North America.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3842298691055, 43.6581724761526]]}"
60,Approximate address - Located on Toronto Island - take ferry from 9 Queen's Quay West to Hanlan's Point,Hanlan's Point Beach,Nature/ Park,416-392-8196, ,https://www.toronto.ca/data/parks/prd/facilities/complex/2541/index.html,8133591, ,8133591,695,Lakeshore Ave,695 Lakeshore Ave, ,former Toronto,Toronto, ,115001,30056595,695, , , ,3802,Spadina-Fort York,28,10,3363008,"Situated on the west shore of Toronto Island Park, this beach is Toronto's only clothing optional beach.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3910405013224, 43.6212974492459]]}"
61, ,Harbourfront Centre,Performing Arts,416-973-4000, ,http://www.harbourfrontcentre.com/,11226853, ,11226853,235,Queens Quay W,235 Queens Quay W,M5J 2G8,former Toronto,Toronto, ,115001,14134888,235, , , ,4244,Spadina-Fort York,20,10,1995833,"Popular 10-acre lakeside cultural site offers an eclectic blend of year-round arts, culture and recreation such as concerts, skating, music festivals and dance.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3829059195592, 43.6412311144729]]}"
62, ,Hart House Theatre,Performing Arts,416-978-8849, ,https://harthouse.ca/,8128861, ,8128861,7,Hart House Crcl,7 Hart House Crcl,M5S 3H3,former Toronto,Toronto,Hart House,102008,8128860,7, , , ,9333,University-Rosedale,20,11,2984413,"A point of interest in the University of Toronto community, the Hart House Theatre and it's students produce an array of drama, dance, film, and music.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.3943638456796, 43.665710787682]]}"
63, ,High Park,Nature/ Park,416-338-0338, ,http://www.highparktoronto.com/,10250060, ,10250060,1873,Bloor St W,1873 Bloor St W, ,former Toronto,Toronto, ,106001,10250061,1873, , , ,458,Parkdale-High Park,13,4,3837548,"High Park is one of Torontos largest parks, and attracts visitors each spring for the blooming of its famous cherry blossoms. It also contains attractions and amenities such as recreational programs, a local zoo, a unique playground and a pond.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4638894359047, 43.6555675931873]]}"
64, ,Historic Zion Schoolhouse,Museum,416-395-7435, ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/zion-schoolhouse/,14070727, ,14070727,1091,Finch Ave E,1091 Finch Ave E,M2J 2X3,North York,Toronto,Historic Zion Schoolhouse - Building Grounds,107008,436952,1091, , , ,5589,Don Valley North,33,17,4061863,"Built in 1869, the Historic Zion Schoolhouse has been restored to emulate schooling as it once was in the farming  district of L'Amaroux",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3632085337711, 43.7923643845881]]}"
65, ,Hockey Hall of Fame,Attraction,416-360-7765, ,https://www.hhof.com/,8676865, ,8676865,30,Yonge St,30 Yonge St,M5E 1X8,former Toronto,Toronto, ,115001,8676863,30, , , ,4733,Toronto Centre,28,13,1981812,"Unique to Toronto, and featuring the Stanley Cup, interactive exhibits, shows, and the finest collection of hockey artifacts in the world.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3771834948678, 43.6491126580005]]}"
66, ,HTO Park,Nature/ Park,416-392-8188, ,https://www.toronto.ca/data/parks/prd/facilities/complex/1663/index.html,14069050, ,14069050,339,Queens Quay W,339 Queens Quay W,M5V 1A2,former Toronto,Toronto,"Hto Park,Maple Leaf Quay",103005,10223459,339, , , ,4244,Spadina-Fort York,20,10,4061713,"Facing the inner harbour with Toronto Island Park in clear viewing,  HTO Park includes an urban beach which is decorated with yellow umbrellas and Muskoka chairs.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3884137394709, 43.6396899709567]]}"
67, ,CF Sherway Gardens,Landmark,416-621-1070, ,https://www.cfshops.com/sherway-gardens.html,3327188, ,,25,The West Mall,25 The West Mall,M9C 1B8,Etobicoke,Toronto, ,,,, , , ,,Etobicoke-Lakeshore,5,3,,An upscale shopping centre in Toronto's West end., ,"{'type': 'MultiPoint', 'coordinates': [[-79.5570120906651, 43.6139454842345]]}"
68, ,Humber Arboretum,Nature/ Park,416-675-5009, ,https://humber.ca/arboretum/,12387605, ,12387605,205,Humber College Blvd,205 Humber College Blvd,M9W 5L7,Etobicoke,Toronto,Humber College Athletic Centre,102006,20232386,205, , , ,1827,Etobicoke North,1,1,3212518,"Located nearby the West Humber River Valley, the Humber Arboretum offers trails through environmentally-rich areas like forests, and wetlands.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.6066478939633, 43.7311644715016]]}"
69, ,Humber Bay Park (Humber Bay Butterfly Habitat),Nature/ Park,311, ,https://www.toronto.ca/data/parks/prd/facilities/complex/1074/index.html,11272401, ,11272401,100,Humber Bay Park Rd W,100 Humber Bay Park Rd W,M8V 3X7,Etobicoke,Toronto,Humber Bay Park East,106008,30040668,100, , , ,10882,Etobicoke-Lakeshore,6,3,4063710,"Located at a waterfront park at the mouth of Mimico Creek, the Humber Bay Butterfly Habitat is focused on providing habitat for an array of native butterfly species.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4808865786305, 43.6207767090691]]}"
70, ,Isabel Bader Theatre,Performing Arts,416-585-4498, ,https://www.vicu.utoronto.ca/hospitality-services/hold-an-event/isabel-bader-theatre/,20169543, ,20169543,93,Charles St W,93 Charles St W,M5S 1K5,former Toronto,Toronto, ,102008,12631071,93, , , ,3146,University-Rosedale,27,11,2862495,"Located at the University of Toronto, this multi-purpose venue seats 500 patrons whether it be for a lecture, workshop, or a theatrical production.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.3922191863739, 43.6692973563057]]}"
71, ,Jack Layton Ferry Terminal,Transportation,416-392-8193, ,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/all-ferry-schedules/,8676757, ,8676757,9,Queens Quay W,9 Queens Quay W,M5J 2H3,former Toronto,Toronto, ,108008,14678340,9, , , ,4244,Spadina-Fort York,28,10,2756535,"Located at the foot of Bay Street and Queens Quay West, the  Jack Layton Ferry Terminal acts as a commuting point to and from the Toronto Island Park with frequent ferry service.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3748918078571, 43.6424400155539]]}"
72, ,James Garden Park,Garden / Conservatory,416-392-8188, ,https://www.toronto.ca/data/parks/prd/facilities/complex/3/index.html,20350827, ,998509,99,Edenbridge Dr,99 Edenbridge Dr, ,Etobicoke,Toronto,Scarlett Mills Park,106005,909949,61, , , ,1524,Etobicoke Centre,4,2,2331546,"Former estate gardens located in Toronto's west end that include rare trees, spring-fed pools, and other seasonal displays.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.5159025090234, 43.6733653894034]]}"
73, ,Japan Foundation,Museum,416-966-1600, ,https://jftor.org/,8535820, ,8535820,2,Bloor St E,2 Bloor St E,M4W 1A8,former Toronto,Toronto, ,107010,30018013,2, , , ,3020,University-Rosedale,27,11,3005179,A cultural establishment aiming towards effective development of its international cultural exchange programs in Japanese arts and cultural exchange.,N,"{'type': 'MultiPoint', 'coordinates': [[-79.3853521559838, 43.6727178589291]]}"
74,Located inside Beaches Park,Balmy Beach Park,Nature/ Park,311, ,http://app.toronto.ca/tpha/beach/9.html,6303047, ,7683571,1,Beech Ave,1 Beech Ave,M4E 1A7,former Toronto,Toronto, ,106001,7683563,2075, , , ,4237,Beaches-East York,32,19,3835122,"Created in 1903, the historic park features a lawn bowling club, a playground and outdoor fitness equipment.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.286510590319, 43.6725546875392]]}"
75, ,Kew Gardens Park,Nature/ Park,416-392-2489, ,https://www.kew.org/kew-gardens,7683571, ,7683571,2075,Queen St E,2075 Queen St E,M4L 1J1,former Toronto,Toronto,Kew Gardens,106001,7683563,2075, , , ,4237,Beaches-East York,32,19,3835122,"Located in The Beaches, Kew Gardens act as one of Toronto's most popular picnic grounds while having access to the boardwalk on the lakeshore.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.2990896836228, 43.6719887207446]]}"
76, ,Koerner Hall (at the Telus Centre for Performance and Learning),Performing Arts,416-408-0208, ,https://www.rcmusic.com/about-us/rcm-venue-rentals/koerner-hall,772768, ,772768,273,Bloor St W,273 Bloor St W,M5S 1W2,former Toronto,Toronto, ,102007,8408552,273, , , ,458,University-Rosedale,20,11,3829169,"Koerner Hall is a 1,135 seat venue to provide excellent acoustic sounds for all genres of music in its ""shoebox"" designed venue.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3958590533545, 43.6698553202174]]}"
77, ,Lower Ossington Theatre,Performing Arts,416-915-6747, ,http://lowerossingtontheatre.com/,14225628, ,14225628,100,Ossington Ave,100 Ossington Ave,M6J 2Z4,former Toronto,Toronto, ,115001,10558391,100, , , ,4125,Spadina-Fort York,19,10,1525753,"A theatrical hub for downtown Toronto's west end, the Lower Ossington Theatre is home to special presentations, rehearsals, and classes.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4196300853624, 43.6483776856007]]}"
78, ,Mackenzie House,Museum,416-392-6915, ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/mackenzie-house/,773899, ,773899,82,Bond St,82 Bond St,M5B 1X2,former Toronto,Toronto,Mackenzie House - Building Grounds,107008,1144656,82, , , ,3029,Toronto Centre,27,13,3838139,"Mackenzie House is the restored home of William Lyon Mackenzie, Toronto's first Mayor. It is one of 10 museums operated by the City of Toronto.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3782548822104, 43.6576791969401]]}"
79, ,Marie Curtis Park East Beach,Nature/ Park,311, ,http://app.toronto.ca/tpha/beach/1.html,14077509, ,14077509,2,Forty Second St,2 Forty Second St, ,Etobicoke,Toronto,Marie Curtis Park,106001,914923,2, , , ,1631,Etobicoke-Lakeshore,6,3,1725205,Located at the mouth of Etobicoke Creek near the foot of Forty-Second Street. Most users of this beach come from the bordering Long Branch community.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.5418841087542, 43.588760151211]]}"
80, ,Massey Hall,Performing Arts,416-872-4255, ,https://www.masseyhall.com/,7642517, ,7642517,178,Victoria St,178 Victoria St,M5B 1T7,former Toronto,Toronto, ,107010,7642502,178, , , ,9790,Toronto Centre,27,13,3323556,"Declared a heritage building in  the 1970s, this live events venue acts as a performance venue for various artists.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.378570671925, 43.6558155242078]]}"
81, ,Mattamy Athletic Centre,Sports / Entertainment Venue,416-979-5339, ,https://www.mattamyathleticcentre.ca/,30018522, ,30018522,50,Carlton St,50 Carlton St,M5B 1J2,former Toronto,Toronto,Ryerson University  Athletic Centre,102008,14023522,50, , , ,3116,Toronto Centre,27,13,3326694,"Mattamy Athletic Centre is located within Maple Leafs Garden and is home to the Ryerson Ram's basketball, hockey and volleyball teams.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3801144393073, 43.6638177384888]]}"
82, ,Medieval Times Dinner and Tournament,Performing Arts,1-866-543-9637, ,https://www.medievaltimes.com/,13497566, ,13497566,10,Dufferin St,10 Dufferin St,M6K 3C3,former Toronto,Toronto, ,107007,20231260,10, , , ,557,Spadina-Fort York,19,10,1724342,"A family dinner theatre featuring staged medieval-style games, sword-fighting, and jousting performed by a cast of actors and horses.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4253077328489, 43.6346962959367]]}"
83, ,Metro Toronto Convention Centre,Convention & Trade Centres,416-585-8000, ,https://www.mtccc.com/,13977191, ,13977191,222,Bremner Blvd,222 Bremner Blvd,M5V 3L9,former Toronto,Toronto, ,107002,13975104,222, , , ,11078,Spadina-Fort York,20,10,4061888,"Offers more than 600,000 square feet of large exhibit, event, and meeting space.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.38469775815, 43.6446836658206]]}"
84, ,Montgomery's Inn,Museum,416-394-8113, ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/montgomerys-inn/,9340380, ,9340380,4709,Dundas St W,4709 Dundas St W,M9A 1A8,Etobicoke,Toronto, ,107008,30031177,4709, , , ,558,Etobicoke Centre,4,2,3230370,"A museum that was once a historic home, visitors can delve into the lifestyle of a 19th century Irish farm family with access to the bedrooms, kitchen wing and much more.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.525461029977, 43.653675712059]]}"
85, ,MuchMusic (Bell Media Queen Street),Landmark,416-591-5757, ,https://www.much.com/,3948802, ,3948802,299,Queen St W,299 Queen St W,M5V 2Z5,former Toronto,Toronto, ,104008,3948809,299, , , ,4238,Spadina-Fort York,20,10,3079761,A Canadian television channel dedicated to engaging the youth through popular music and popular television series.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3901779495508, 43.6515504597024]]}"
86, ,Museum of Contemporary Canadian Art,Gallery,416-395-0067, ,https://moca.ca/,8038152, ,8038152,158,Sterling Rd,158 Sterling Rd,M6R 2B7,former Toronto,Toronto, ,115001,8038141,158, , , ,4486,Davenport,18,9,2100309,"A variety of original and thought-provoking exhibitions, promoting innovative art by Canadian and international artists. Over 800 artists have been featured in more than 80 exhibitions and projects.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.4457650364928, 43.6565879174555]]}"
87, ,Mysteriously Yours Mystery Dinner Theatre,Performing Arts,416-486-7469, ,https://mysteriouslyyours.ca/,7730034, ,10430693,33,Gerrard St E,33 Gerrard St W,M5G 1Z4,former Toronto,Toronto, ,115001,10430691,2026, , , ,4733,University-Rosedale,27,11,2489893,Mysteriously Yours. Mystery Dinner Theatre is a murder mystery dinner theatre located in  Downtown Toronto.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3828287830121, 43.6604336630428]]}"
88, ,Native Earth Performing Arts & Aki Studio,Performing Arts,416-531-1402, ,https://www.nativeearth.ca/,30022280, ,30022280,585,Dundas St E,585 Dundas St E,M5A 2B7,former Toronto,Toronto, ,100002,30025387,585, , , ,3334,Toronto Centre,28,13,3217102,Native Earth Performing Arts is a theatre company devoted to the artistic expression of the Indigenous experience. Located in Daniels Spectrum.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3617415183511, 43.6620846864797]]}"
89, ,Old City Hall,Landmark,416-338-0338, ,https://www.toronto.ca/311/knowledgebase/kb/docs/articles/Corporate-Real-Estate-Management/facilities-management/old-city-hall-toronto-courthouse.html,8068212, ,8068212,60,Queen St W,60 Queen St W,M5H 2M3,former Toronto,Toronto,Old City Hall - Building Grounds,104001,8068215,60, , , ,4238,Toronto Centre,27,13,3838088,"Old City Hall is a landmark building that was used as Toronto's second City Hall and is a great example of beautiful architecture. Today, it is used as a courthouse.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3815525785401, 43.6541024278247]]}"
90, ,Onsite [at] OCADU,Gallery,416-977-6000, ,https://www.ocadu.ca/gallery/onsite,7929608, ,7929608,199,Richmond St W,199 Richmond St W,M5V 0H4,former Toronto,Toronto, ,104008,14025348,199, , , ,4277,Spadina-Fort York,20,10,2662467,Onsite [at] OCAD U provides the opportunity and space of an art gallery to exhibit students contemporary work.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3882096127348, 43.6514164388418]]}"
91, ,Ontario Science Centre,Attraction,416-696-1000, ,https://www.ontariosciencecentre.ca/,507987, ,507987,770,Don Mills Rd,770 Don Mills Rd,M3C 1T3,North York,Toronto, ,107010,445100,770, , , ,100,Don Valley East,26,16,2925984,"Home to fascinating interactive experiences with over 500 engaging exhibits, live demonstrations, IMAX films, and Torontos only public planetarium.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.337944641102, 43.7184425543837]]}"
92, ,Osgoode Hall,Landmark,416-947-3300, ,https://www.osgoode.yorku.ca/,14200071, ,14200071,130,Queen St W,130 Queen St W,M5H 2N6,former Toronto,Toronto, ,115001,1145285,130, , , ,4238,Spadina-Fort York,27,10,1842308,"Constructed in the 19th century, Osgoode Hall acts as the judicial landmark of Toronto, with institutions like the Ontario Court of Appeal, the Law Society of Upper Canada, and the Divisional Court of the Superior Court of Justice.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3847486562494, 43.6536678598664]]}"
93, ,CAA Theatre (formerly Panasonic Theatre),Performing Arts,416-872-1212, ,https://www.mirvish.com/theatres/caa-theatre,9941951, ,9941951,651,Yonge St,651 Yonge St,M4Y 1Z9,former Toronto,Toronto, ,115001,9941835,651, , , ,4733,Toronto Centre,27,13,1888490,"Owned by Mirvish Productions, the CAA Theatre is the home of many famous theatrical productions.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3853549322838, 43.670112787611]]}"
94, ,Polson Pier,Attraction,416-469-5655, ,https://www.polsonpier.com/,9213006, ,9213006,11,Polson St,11 Polson St,M5A 1A4,former Toronto,Toronto, ,115001,9213005,11, , , ,4205,Toronto-Danforth,30,14,2756589,"Located on the water, the Polson Pier is a waterfront property that includes a drive-in cinema, patio bar, concert venues, and much more.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3545018157681, 43.6430856834065]]}"
95, ,Princess of Wales Theatre,Performing Arts,416-872-1212, ,https://www.mirvish.com/theatres/princess-of-wales-theatre,10180377, ,10180377,300,King St W,300 King St W,M5V 1J2,former Toronto,Toronto, ,115001,10180374,300, , , ,3780,Spadina-Fort York,20,10,1701544,Owned by Mirvish Productions. The Princess of Wales Theatre opened in 1993 and is the home  of many famous theatrical productions,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3891201050389, 43.6490446119187]]}"
96, ,Queen Elizabeth Theatre,Performing Arts,416-263-3293, ,https://queenelizabeththeatre.ca/,13497595, ,13497595,190,Princes' Blvd,190 Princes' Blvd,M6K 3C3,former Toronto,Toronto, ,107007,20230465,190, , , ,20228,Spadina-Fort York,19,10,4163956,"Located at Exhibition Place, the Queen Elizabeth Theatre is an auditorium that is the venue for various entertainment events",N,"{'type': 'MultiPoint', 'coordinates': [[-79.4211795128198, 43.6347273873487]]}"
97, ,Queen's Park: Legislative Assembly of Ontario,Landmark,416-325-7500, ,https://www.ola.org/en/visit-learn/parliament-government/explore-queens-park,8128874, ,8128867,110,Wellesley St W,110 Wellesley St W, ,former Toronto,Toronto, ,115001,30030173,111, , , ,4649,University-Rosedale,27,11,3228046,"A variety of free tour options are available all year round to visit Ontarios historic Legislative Building (iconic sandstone Richardson Romanesque style building, completed in 1893).",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3915717398634, 43.6668695707011]]}"
98, ,Randolph Centre for the Arts,Performing Arts,416-924-2243, ,http://www.randolphcentreforthearts.com/,6924860, ,6924860,736,Bathurst St,736 Bathurst St,M5S 2R4,former Toronto,Toronto, ,109001,6924849,736, , , ,436,University-Rosedale,19,11,1515880,The historic Randolph Theatre is a 500-seat theatre located in a former Gothic revival style church.,N,"{'type': 'MultiPoint', 'coordinates': [[-79.4106772674961, 43.6655854751761]]}"
99, ,Redpath Sugar Museum,Museum,416-366-3561, ,https://www.redpathsugar.com/,8351189, ,8351189,95,Queens Quay E,95 Queens Quay E,M5E 1A3,former Toronto,Toronto, ,115001,8351188,95, , , ,4243,Spadina-Fort York,28,10,2740306,"Located inside the Redpath Refinery, the Redpath Sugar Museum is for those interested in the history of sugar, the development and the role of the Redpath family in Canada's industry sector, and much more.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3701978777063, 43.6445472149093]]}"
100, ,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,416-263-3900, ,https://www.coca-colacoliseum.com/,13497818, ,13497818,45,Manitoba Dr,45 Manitoba Dr,M6K 3C3,former Toronto,Toronto,CNE Coca-Cola Coliseum,107007,30060515,45, , , ,3906,Spadina-Fort York,19,10,3800212,"Located at Exhibition Place, the Coca-Cola Coliseum is home to the Toronto Marlies (American Hockey League) and concerts.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4148922409211, 43.637791090945]]}"
101, ,Ripley's Aquarium of Canada,Attraction,647-351-3474, ,https://www.ripleyaquariums.com/canada/,30025661, ,30025661,288,Bremner Blvd,288 Bremner Blvd,M5V 3L9,former Toronto,Toronto, ,106008,13975104,288, , , ,11078,Spadina-Fort York,20,10,3212213,"Canadas largest aquarium. Interactive attractions feature over 5.7 million litres of water and more than 16,000 marine animals.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3858355016889, 43.6443778070003]]}"
102, ,Riverdale Farm,Attraction,416-392-6794, ,http://riverdalefarmtoronto.ca/,7684079, ,7684079,201,Winchester St,201 Winchester St,M4X 1B8,former Toronto,Toronto, ,106001,30098184,201, , , ,4697,Toronto Centre,28,13,4240791,"On 7.5 acres, Riverdale Farm is an historic working farm with many scenic pathways and farm animals.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3608526645466, 43.6693197908388]]}"
103, ,Riverdale Park (East and West),Nature/ Park,416-392-2489, ,https://www.toronto.ca/data/parks/prd/facilities/complex/343/index.html,4840437, ,4840437,550,Broadview Ave,550 Broadview Ave, ,former Toronto,Toronto,Riverdale Park East,115001,4840438,550, , , ,44,Toronto-Danforth,30,14,3836161,"A Toronto park that is great for all seasons. Riverdale Park West has three multipurpose sport fields, seven tennis courts, an outdoor ice rink, two baseball diamonds, and much more.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3543852325392, 43.6728197325818]]}"
104, ,Rogers Centre,Sports / Entertainment Venue,416-341-1000, ,https://www.mlb.com/bluejays/ballpark,5866193, ,5866193,1,Blue Jays Way,1 Blue Jays Way,M5V 1J4,former Toronto,Toronto,The Dome,106008,30064794,1, , , ,11088,Spadina-Fort York,20,10,3819271,The Rogers Centre is a multipurpose venue. Home to the Toronto Blue Jays (Major League Baseball) and the Toronto Argonauts (Canadian Football League).,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3891718446234, 43.6441781003267]]}"
105, ,Rosetta McClain Gardens,Nature/ Park,416-392-8188, ,www.toronto.ca/data/parks/prd/facilities/complex/19/index.html,2893748, ,2893748,5,Glen Everest Rd,5 Glen Everest Rd,M1N 1J2,Scarborough,Toronto, ,106001,30074994,5, , , ,7980,Scarborough Southwest,36,20,4094638,"The Rosetta McClain Gardens is a great place to safely see the Scarborough Bluffs and has beautiful rose gardens. There are signs available in braille, textured paths, raised planters, and a ramp to ensure accessibility.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.2554470330807, 43.6994158658252]]}"
106, ,Rouge Beach Park,Nature/ Park,311, ,https://www.toronto.ca/data/parks/prd/facilities/complex/340/index.html,20044128, ,20044128,195,Rouge Hills Dr,195 Rouge Hills Dr,M1C 2Y9,Scarborough,Toronto,Rouge Park - Rouge Beach Park,106001,30059747,195, , , ,8843,Scarborough-Rouge Park,44,25,4061645,"One of Toronto's designated swimming beaches, Rouge Beach has two distinct areas a white sand beach and a marsh habitat.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.1211886464507, 43.7936703813361]]}"
107, ,Rouge National Urban Park,Nature/ Park,416-264-2020, ,https://www.pc.gc.ca/en/pn-np/on/rouge,6349679, ,6349679,1749,Meadowvale Rd,1749 Meadowvale Rd,M1B 5W8,Scarborough,Toronto,Rouge Valley Conservation Centre,115001,6349680,1749, , , ,8470,Scarborough-Rouge Park,42,25,3809023,"Canada's first national park within an urban area, the park is Toronto's largest. It features hiking trails, a campground and Rouge Beach.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.1716576920731, 43.8203769465488]]}"
108, ,Roy Thomson Hall,Performing Arts,416-872-4255, ,https://www.roythomsonhall.com/,868439, ,868439,60,Simcoe St,60 Simcoe St,M5J 2H5,former Toronto,Toronto, ,107010,1146180,60, , , ,4411,Spadina-Fort York,20,10,2690432,"Opened in 1982, Roy Thomson Hall is home of the Toronto Symphony Orchestra and the Toronto Mendelssohn Choir.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3862510843023, 43.6486976530181]]}"
109, ,Royal Alexandra Theatre,Performing Arts,416-872-1212, ,https://www.mirvish.com/theatres/royal-alexandra-theatre,7929660, ,7929660,260,King St W,260 King St W,M5V 1H9,former Toronto,Toronto, ,107002,7929656,260, , , ,3780,Spadina-Fort York,20,10,2869253,Owned by Mirvish Productions. The Royal Alexandra Theatre built in beaux-arts architectural style in 1907. It is home to numerous performances and performers.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3874427901689, 43.649449438223]]}"
110, ,Royal Conservatory of Music,Performing Arts,416-408-2824, ,https://www.rcmusic.com/,772768, ,772768,273,Bloor St W,273 Bloor St W,M5S 1W2,former Toronto,Toronto, ,102007,8408552,273, , , ,458,University-Rosedale,20,11,3829169,The Toronto Conservatory of Music was founded in 1886.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3958590533545, 43.6698553202174]]}"
111, ,Royal Ontario Museum,Museum,416-586-8000, ,https://www.rom.on.ca/en,30022473, ,30022473,100,Queen's Park,100 Queen's Park,M5S 2C6,former Toronto,Toronto, ,107008,8408484,100, , , ,11267,University-Rosedale,20,11,3268694,"Canadas largest museum of natural history and world cultures, presents engaging galleries of art, archaeology, and natural science from around the world.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3940126062519, 43.6697942953825]]}"
